,Scientific,Dutch,RL_NT,RL_VU,RL_EN,RL_CR,RL_EX,HabDir_II,HabDir_IV,BirdDir_I,BernConv_1,BernConv_2,BonnConv_1,BonnConv_2,FF_Table1,FF_Table2,FF_Table3,FF_Birds,taxonomicGroup
Motacilla flava,Motacilla flava,Gele kwikstaart,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Motacilla thunbergi,Motacilla thunbergi,Noordse kwikstaart,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Muscicapa striata,Muscicapa striata,Grauwe vliegenvanger,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Netta rufina,Netta rufina,Krooneend,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Nucifraga caryocatactes,Nucifraga caryocatactes,Notenkraker,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Numenius arquata,Numenius arquata,Wulp,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,Birds
Nycticorax nycticorax,Nycticorax nycticorax,Kwak,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,Birds
Oenanthe oenanthe,Oenanthe oenanthe,Tapuit,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Oriolus oriolus,Oriolus oriolus,Wielewaal,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Pandion haliaetus,Pandion haliaetus,Visarend,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Panurus biarmicus,Panurus biarmicus,Baardmannetje,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Parus major,Parus major,Koolmees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Birds
Passer domesticus,Passer domesticus,Huismus ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Passer montanus,Passer montanus,Ringmus,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Perdix perdix,Perdix perdix,Patrijs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Birds
Pernis apivorus,Pernis apivorus,Wespendief,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,Birds
Phalacrocorax carbo,Phalacrocorax carbo,Aalscholver,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Birds
Philomachus pugnax,Philomachus pugnax,Kemphaan,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,Birds
