km,dikeraising_evr_smooth,dikeraising_lrg_smooth,groynelowering_evr_smooth,groynelowering_lrg_smooth,lowering_evr_natural,lowering_evr_smooth,lowering_lrg_natural,lowering_lrg_smooth,minemblowering_evr_smooth,minemblowering_lrg_smooth,reference_FM_dQdh,sidechannel_evr_natural,sidechannel_evr_smooth,sidechannel_lrg_natural,sidechannel_lrg_smooth,smoothing_evr_natural,smoothing_evr_smooth,smoothing_lrg_natural,smoothing_lrg_smooth
932.0,0.0,0.0,-0.0124352149254,-0.011556975788,-0.635903378374,-0.68553354273,-0.229416563501,-0.247609249219,-0.0183460275509,-0.00595908788569,0.0,-0.143762327063,-0.205321232914,-0.0530052197171,-0.0750307433508,-0.0770825887264,-0.13462862657,-0.0268659202981,-0.0642366041398
933.0,0.0,0.0,-0.0125870565609,-0.0116563865701,-0.605679811397,-0.652174573949,-0.235815897594,-0.254685915811,-0.0188524107639,-0.0064209108517,0.0,-0.135186795325,-0.196176843161,-0.0505948072794,-0.0749921700076,-0.0745926485385,-0.128995085568,-0.0311679962842,-0.0689443785678
934.0,0.0,0.0,-0.0132961475205,-0.0125658911432,-0.568803841336,-0.611214841027,-0.232412962119,-0.249568994444,-0.0210774871056,-0.00819276490414,0.0,-0.11473055383,-0.162604200809,-0.0458374474878,-0.0683288707245,-0.0501950021521,-0.0989730795845,-0.0126618951812,-0.0479867236351
935.0,0.0,0.0,-0.0137033394965,-0.012758955753,-0.503146877229,-0.544206842587,-0.189443651293,-0.206661155684,-0.0194588407076,-0.00730073328013,0.0,-0.0742887189596,-0.110976863888,-0.0200638940473,-0.0395500055516,-0.0642421231073,-0.11319777781,-0.0202225931175,-0.0555418438832
936.0,0.0,0.0,-0.0131829117362,-0.0122049781696,-0.504280613148,-0.543367276462,-0.215066414316,-0.231713832016,-0.0204579638789,-0.00773883581432,0.0,-0.0587165032077,-0.0944980420004,-0.0226759897423,-0.0418386023989,-0.0689475712616,-0.116280913029,-0.0248245407367,-0.0582748732702
937.0,0.0,0.0,-0.0140985571765,-0.013034063886,-0.499795090393,-0.538504000264,-0.190919229764,-0.206692426963,-0.0195204434488,-0.00539748952557,0.0,-0.0691662692216,-0.10044748248,-0.0227928549228,-0.0390457644513,-0.0772298279373,-0.123238427436,-0.0294275951641,-0.0611715494476
938.0,0.0,0.0,-0.0136274073783,-0.0125161987662,-0.479504370656,-0.517926079967,-0.174650585597,-0.189868082656,-0.0142827243413,-0.00413723677167,0.0,-0.0622991303919,-0.0945049919544,-0.0190643435208,-0.0364962026117,-0.0743619992545,-0.120647673463,-0.0263822160514,-0.0579069800757
939.0,0.0,0.0,-0.0141121126874,-0.012938024745,-0.434928382985,-0.472738111647,-0.175444554337,-0.191100785787,-0.00905034390959,-0.00578097760194,0.0,-0.0451260899793,-0.0761717030729,-0.0142561807822,-0.0301863657259,-0.0701112448935,-0.116926367309,-0.0309386073976,-0.063630450431
940.0,0.0,0.0,-0.014872731009,-0.0136456714509,-0.439077641924,-0.475019183979,-0.170959369893,-0.186136141934,-0.0119583946694,-0.00616685801851,0.0,-0.0371599124632,-0.061869793642,-0.0144525628105,-0.0308353569726,-0.0794743782978,-0.1237465414,-0.0342148868468,-0.0658148567636
941.0,0.0,0.0,-0.0155049534199,-0.0141635148277,-0.412569765923,-0.447215357322,-0.149466607689,-0.16362341477,-0.0116078974226,-0.0050368266478,0.0,-0.0336882118536,-0.0527868819001,-0.00684460150837,-0.0156289011728,-0.0841381909206,-0.12734098829,-0.0373659896314,-0.0670180232365
942.0,0.0,0.0,-0.016291850657,-0.0148480978422,-0.40000681368,-0.432989976279,-0.142304171347,-0.155326526847,-0.0097023383348,-0.00524094713725,0.0,-0.0238129794349,-0.03314016031,0.00566372947398,0.00724208705749,-0.0899468228685,-0.132665109148,-0.0432809818657,-0.072129453331
943.0,0.0,0.0,-0.0137044870892,-0.0126281341946,-0.374724665692,-0.406163991594,-0.151317077883,-0.16562753515,-0.0122713795514,-0.00624544521101,0.0,-0.0341758668004,-0.0500800228984,-0.00120032318387,-0.00480858811365,-0.0994130742701,-0.14048528309,-0.0520560936124,-0.081526180725
944.0,0.0,0.0,-0.0132679625202,-0.0127498610633,-0.352380778414,-0.382892242163,-0.160029901496,-0.17482262563,-0.0124626465129,-0.00551552905212,0.0,-0.0381677753207,-0.0563552860514,-0.00232588951042,-0.00716460333593,-0.095438780907,-0.134994487856,-0.0565857030965,-0.0862869864308
945.0,0.0,0.0,-0.0140002351654,-0.0132638032948,-0.337448155845,-0.365171355788,-0.165312249057,-0.181288503615,-0.0119867933962,-0.00628873053136,0.0,-0.0249888237292,-0.038331305828,-0.00245619790432,-0.00747859855506,-0.081587707662,-0.118347436113,-0.0600253464997,-0.0908313569306
